"clip_id","video_group_id","question_id","clip_type","text","text_tts","suggested_filename","notes"
"G04_q2_explanation","G04","se-01-10","explanation","گزینه صحیح، «حرکت با احتیاط و در صورت لزوم توقف می‌نماییم» است. خط منقطع عبور را به‌کلی ممنوع نمی‌کند. یعنی باید با احتیاط حرکت کرد و هر جا لازم شد توقف نمود.","گزینه صحیح، «حرکت با احتیاط و در صورت لزوم توقف می‌نماییم» است. خط منقطع عبور را به‌کلی ممنوع نمی‌کند. یعنی باید با احتیاط حرکت کرد و هر جا لازم شد توقف نمود.","se-01-10_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G04_q3_question","G04","se-03-23","question","به این سؤال آیین‌نامه جواب بده: وظیفه کنیستر چیست؟","به این سؤال آیین‌نامه جواب بده: وظیفه کنیستر چیست؟","se-03-23_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G04_q3_explanation","G04","se-03-23","explanation","گزینه صحیح، «از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند» است. کنیستر بخارهای بنزین را جذب و نگه‌داری می‌کند تا از ورود آن‌ها به هوای آزاد جلوگیری شود.","گزینه صحیح، «از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند» است. کنیستر بخارهای بنزین را جذب و نگه‌داری می‌کند تا از ورود آن‌ها به هوای آزاد جلوگیری شود.","se-03-23_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G05_q1_question","G05","se-03-04","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-03-04_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G05_q1_explanation","G05","se-03-04","explanation","گزینه صحیح، «خیابان اصلی» است. لوزی زرد با حاشیهٔ سفید، تابلوی «راه اصلی» (خیابان اصلی) است. یعنی در طول این مسیر حق تقدم با توست.","گزینه صحیح، «خیابان اصلی» است. لوزی زرد با حاشیهٔ سفید، تابلوی «راه اصلی» (خیابان اصلی) است. یعنی در طول این مسیر حق تقدم با توست.","se-03-04_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G05_q2_question","G05","se-11-11","question","به این سؤال آیین‌نامه جواب بده: کدام گزینه نادرست است؟","به این سؤال آیین‌نامه جواب بده: کدام گزینه نادرست است؟","se-11-11_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G05_q2_explanation","G05","se-11-11","explanation","گزینه نادرست، «رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند» است. استعمال دخانیات حین رانندگی به‌دلیل کاهش تمرکز و ایجاد حواس‌پرتی مجاز نیست.","گزینه نادرست، «رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند» است. استعمال دخانیات حین رانندگی به‌دلیل کاهش تمرکز و ایجاد حواس‌پرتی مجاز نیست.","se-11-11_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G05_q3_question","G05","se-08-03","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-08-03_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G05_q3_explanation","G05","se-08-03","explanation","گزینه صحیح، «چاله» است. این تابلوی هشدار وجود «چاله» در سطح راه را اعلام می‌کند تا راننده سرعت را کاهش داده و از آسیب به خودرو جلوگیری کند.","گزینه صحیح، «چاله» است. این تابلوی هشدار وجود «چاله» در سطح راه را اعلام می‌کند تا راننده سرعت را کاهش داده و از آسیب به خودرو جلوگیری کند.","se-08-03_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G06_q1_question","G06","se-02-06","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-02-06_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G06_q1_explanation","G06","se-02-06","explanation","گزینه صحیح، «تراکم ترافیک» است. تصویر چند خودرو پشت سر هم روی تابلوی مثلثی هشدار یعنی احتمال تراکم ترافیک در جلو. آمادهٔ کاهش سرعت باش.","گزینه صحیح، «تراکم ترافیک» است. تصویر چند خودرو پشت سر هم روی تابلوی مثلثی هشدار یعنی احتمال تراکم ترافیک در جلو. آمادهٔ کاهش سرعت باش.","se-02-06_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G06_q2_question","G06","se-12-18","question","به این سؤال آیین‌نامه جواب بده: تاثیرات مواد مخدر چیست؟","به این سؤال آیین‌نامه جواب بده: تاثیرات مواد مخدر چیست؟","se-12-18_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G06_q2_explanation","G06","se-12-18","explanation","گزینه صحیح، «اعتماد به نفس کاذب-کاهش هوشیاری» است. مواد مخدر با ایجاد اعتماد به نفس کاذب و کاهش هوشیاری، توان تشخیص خطر و واکنش به‌موقع راننده را به‌شدت مختل می‌کنند.","گزینه صحیح، «اعتماد به نفس کاذب-کاهش هوشیاری» است. مواد مخدر با ایجاد اعتماد به نفس کاذب و کاهش هوشیاری، توان تشخیص خطر و واکنش به‌موقع راننده را به‌شدت مختل می‌کنند.","se-12-18_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G06_q3_question","G06","se-02-26","question","به این سؤال آیین‌نامه جواب بده: وظیفهٔ بافلر در اتومبیل چیست؟","به این سؤال آیین‌نامه جواب بده: وظیفهٔ بافلر در اتومبیل چیست؟","se-02-26_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G06_q3_explanation","G06","se-02-26","explanation","گزینه صحیح، «کاهش صدای ناهنجار موتور» است. بافلر (صداخفه‌کن) در مسیر اگزوز قرار دارد و وظیفهٔ آن کاهش صدای ناهنجار خروجی موتور است.","گزینه صحیح، «کاهش صدای ناهنجار موتور» است. بافلر (صداخفه‌کن) در مسیر اگزوز قرار دارد و وظیفهٔ آن کاهش صدای ناهنجار خروجی موتور است.","se-02-26_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G07_q1_question","G07","se-04-02","question","این تابلو را می‌شناسی؟ عنوان این تابلو چیست؟","این تابلو را می‌شناسی؟ عنوان این تابلو چیست؟","se-04-02_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G07_q1_explanation","G07","se-04-02","explanation","گزینه صحیح، «پل متحرک» است. این تابلوی هشدار رانندگان را از وجود پل متحرک در پیش رو آگاه می‌کند تا سرعت خود را کاهش دهند و آمادهٔ توقف باشند.","گزینه صحیح، «پل متحرک» است. این تابلوی هشدار رانندگان را از وجود پل متحرک در پیش رو آگاه می‌کند تا سرعت خود را کاهش دهند و آمادهٔ توقف باشند.","se-04-02_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G07_q2_question","G07","se-17-03","question","به این سؤال آیین‌نامه جواب بده: کثیف بودن شیشه چراغ ها منجر به چه می شود؟","به این سؤال آیین‌نامه جواب بده: کثیف بودن شیشه چراغ ها منجر به چه می شود؟","se-17-03_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G07_q2_explanation","G07","se-17-03","explanation","گزینه صحیح، «کاهش شدت روشنایی» است. کثیف بودن شیشهٔ چراغ‌ها باعث کاهش شدت روشنایی می‌شود و دید راننده و دیده شدن خودرو را کم می‌کند.","گزینه صحیح، «کاهش شدت روشنایی» است. کثیف بودن شیشهٔ چراغ‌ها باعث کاهش شدت روشنایی می‌شود و دید راننده و دیده شدن خودرو را کم می‌کند.","se-17-03_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G07_q3_question","G07","se-10-04","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-10-04_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G07_q3_explanation","G07","se-10-04","explanation","گزینه صحیح، «سرعت توصیه شده» است. این تابلو «سرعت توصیه‌شده» را نشان می‌دهد. یعنی سرعت مناسب پیشنهادی برای آن مسیر که جنبهٔ راهنمایی دارد نه الزام.","گزینه صحیح، «سرعت توصیه شده» است. این تابلو «سرعت توصیه‌شده» را نشان می‌دهد. یعنی سرعت مناسب پیشنهادی برای آن مسیر که جنبهٔ راهنمایی دارد نه الزام.","se-10-04_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G08_q1_question","G08","se-15-24","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-15-24_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G08_q1_explanation","G08","se-15-24","explanation","گزینه صحیح، «پایان تونل» است. این تابلو «پایان تونل» را نشان می‌دهد و اعلام می‌کند که خودرو از تونل خارج شده است.","گزینه صحیح، «پایان تونل» است. این تابلو «پایان تونل» را نشان می‌دهد و اعلام می‌کند که خودرو از تونل خارج شده است.","se-15-24_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G08_q2_question","G08","se-13-11","question","به این سؤال آیین‌نامه جواب بده: حمل مسافر در قسمت بار....؟","به این سؤال آیین‌نامه جواب بده: حمل مسافر در قسمت بار....؟","se-13-11_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G08_q2_explanation","G08","se-13-11","explanation","گزینه صحیح، «ممنوع است» است. حمل مسافر در قسمت بار وسیلهٔ نقلیه ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","گزینه صحیح، «ممنوع است» است. حمل مسافر در قسمت بار وسیلهٔ نقلیه ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","se-13-11_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G08_q3_question","G08","se-12-25","question","به این سؤال آیین‌نامه جواب بده: خودرو دیفرانسیل جلو است ینی چه؟","به این سؤال آیین‌نامه جواب بده: خودرو دیفرانسیل جلو است ینی چه؟","se-12-25_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G08_q3_explanation","G08","se-12-25","explanation","گزینه صحیح، «چرخ های جلو محرک هستند» است. خودروی دیفرانسیل جلو یعنی نیروی موتور به چرخ‌های جلو منتقل می‌شود و چرخ‌های جلو محرک هستند.","گزینه صحیح، «چرخ های جلو محرک هستند» است. خودروی دیفرانسیل جلو یعنی نیروی موتور به چرخ‌های جلو منتقل می‌شود و چرخ‌های جلو محرک هستند.","se-12-25_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G09_q1_question","G09","se-06-02","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-06-02_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G09_q1_explanation","G09","se-06-02","explanation","گزینه صحیح، «میدان» است. این تابلوی اخباری وجود «میدان» در پیش رو را اعلام می‌کند تا راننده برای کاهش سرعت و رعایت حق تقدم درون میدان آماده شود.","گزینه صحیح، «میدان» است. این تابلوی اخباری وجود «میدان» در پیش رو را اعلام می‌کند تا راننده برای کاهش سرعت و رعایت حق تقدم درون میدان آماده شود.","se-06-02_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G09_q2_question","G09","se-17-17","question","به این سؤال آیین‌نامه جواب بده: کدامیک از موارد زیر صحیح است؟","به این سؤال آیین‌نامه جواب بده: کدامیک از موارد زیر صحیح است؟","se-17-17_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G09_q2_explanation","G09","se-17-17","explanation","گزینه صحیح، «حمل مسافر در قسمت بار یا صندوق عقب ممنوع است» است. حمل مسافر در قسمت بار یا صندوق عقب ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","گزینه صحیح، «حمل مسافر در قسمت بار یا صندوق عقب ممنوع است» است. حمل مسافر در قسمت بار یا صندوق عقب ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","se-17-17_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G09_q3_question","G09","se-02-07","question","به این سؤال آیین‌نامه جواب بده: ابطال گواهینامه به چه معناست؟","به این سؤال آیین‌نامه جواب بده: ابطال گواهینامه به چه معناست؟","se-02-07_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G09_q3_explanation","G09","se-02-07","explanation","گزینه صحیح، «سلب اعتبار قانونی گواهینامه» است. ابطال گواهینامه یعنی سلب اعتبار قانونی آن. پس از ابطال، گواهینامه دیگر معتبر نیست و دارنده حق رانندگی ندارد.","گزینه صحیح، «سلب اعتبار قانونی گواهینامه» است. ابطال گواهینامه یعنی سلب اعتبار قانونی آن. پس از ابطال، گواهینامه دیگر معتبر نیست و دارنده حق رانندگی ندارد.","se-02-07_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G10_q1_question","G10","se-13-06","question","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-13-06_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G10_q1_explanation","G10","se-13-06","explanation","گزینه صحیح، «عبور گاری ممنوع» است. این تابلوی انتظامی «عبور گاری ممنوع» است و تردد گاری در آن مسیر مجاز نیست.","گزینه صحیح، «عبور گاری ممنوع» است. این تابلوی انتظامی «عبور گاری ممنوع» است و تردد گاری در آن مسیر مجاز نیست.","se-13-06_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G10_q2_question","G10","se-14-17","question","به این سؤال آیین‌نامه جواب بده: درباره محل پارک خودرو کدام گزینه غلط است؟","به این سؤال آیین‌نامه جواب بده: درباره محل پارک خودرو کدام گزینه غلط است؟","se-14-17_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G10_q2_explanation","G10","se-14-17","explanation","گزینه نادرست، «پارک کردن مقابل درب ورودی ساختمان منازل مجاز است» است. پارک کردن مقابل درب ورودی منازل مجاز نیست، زیرا مانع تردد و دسترسی ساکنان می‌شود.","گزینه نادرست، «پارک کردن مقابل درب ورودی ساختمان منازل مجاز است» است. پارک کردن مقابل درب ورودی منازل مجاز نیست، زیرا مانع تردد و دسترسی ساکنان می‌شود.","se-14-17_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
"G10_q3_question","G10","se-07-21","question","به این سؤال آیین‌نامه جواب بده: منظور از چرخ های محرک چیست؟","به این سؤال آیین‌نامه جواب بده: منظور از چرخ های محرک چیست؟","se-07-21_question.mp3","fa · صدای سؤال روی تصویرِ بدون‌پاسخ"
"G10_q3_explanation","G10","se-07-21","explanation","گزینه صحیح، «چرخ هایی هستند که خودرو را به حرکت در می آورند» است. چرخ‌های محرک چرخ‌هایی هستند که نیروی موتور از طریق سیستم انتقال قدرت به آن‌ها می‌رسد و خودرو را به حرکت در می‌آورند.","گزینه صحیح، «چرخ هایی هستند که خودرو را به حرکت در می آورند» است. چرخ‌های محرک چرخ‌هایی هستند که نیروی موتور از طریق سیستم انتقال قدرت به آن‌ها می‌رسد و خودرو را به حرکت در می‌آورند.","se-07-21_explanation.mp3","fa · صدای پاسخ و توضیح روی تصویرِ پاسخ"
